id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
174,3.0324476,1,0,-999,4.6259909,1,10,8109.8262,.69999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4.1679187,0,1,-999,2.6728024,0,80,6830.0718,.40000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,-999,0,0,-999,4.0750632,0,80,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,3.9229088,0,0,4.3750248,3.7589176,0,16,2417.0601,.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,-999,0,1,-999,1.283041,0,33,-999,.60000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,4.7877002,0,0,7.9848719,4.7367749,0,40,48562.324,.60000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,4.5235796,0,0,6.5667601,2.0500658,0,20,1542.7524,.079999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,3.7782619,0,-999,6.241652,4.8238959,0,28,9245.9951,.47999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,-999,0,-999,-999,7.7984328,0,30,721129.75,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
183,6.1792216,0,0,0,1.1802958,0,100,2907.7661,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,-999,0,1,-999,9.0211105,0,60,352391.97,-999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,3.3966777,0,1,-999,3.2633178,0,70,1172.7566,.079999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0
186,4.1930099,1,0,1.4989575,2.2034934,0,20,589.41302,.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,-999,0,1,-999,2.308774,0,50,-999,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
188,4.2718687,0,0,4.7548814,2.6700273,1,100,756.96008,.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,4.1202745,1,1,5.4107447,5.7405653,0,10,37956.078,.55000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,4.8679309,1,1,4.0090761,3.0091171,0,66,11311.72,.60000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,4.7689652,1,1,6.2739868,5.4631076,0,30,50585.207,.30000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,4.1308002,0,1,4.1834359,3.8281078,0,90,2897.9695,.15000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,3.7254286,0,0,1.2611715,2.4566989,0,100,658.63977,.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194,-999,0,0,2.6330402,3.1179981,0,20,1495.177,-999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,4.7212429,0,0,4.7470875,2.9176152,0,30,2473.6467,.15000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,-999,1,1,0,3.4198246,0,15,-999,.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,-999,0,1,-999,4.3868055,0,60,-999,-999,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,4.4365335,1,1,4.0693159,1.9953359,1,30,1002.7877,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,-999,1,0,-999,6.8439441,0,60,245305.13,-999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,-999,0,0,-999,4.5018678,1,50,7706.707,-999,0,0,0,0,0,1,0,0,0,0,0,0,0,0
201,4.3908429,1,1,6.6661587,5.1623859,0,20,11552.116,.60000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,4.3639774,1,1,5.6125593,4.5424109,0,20,7440.9678,.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,-999,1,1,4.7264333,3.3961792,1,100,-999,-999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,5.1830668,0,0,-999,4.1135111,0,45,20321.949,.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
205,-999,0,0,-999,9.2530375,0,40,3310976,-999,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,-999,1,0,3.4101064,2.6045175,1,30,2019.8265,-999,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,-999,0,1,-999,6.2049742,0,60,-999,-999,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,3.9780049,0,0,6.7959552,7.5668106,0,25,370005.13,.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0
209,5.2396622,0,1,6.4795599,5.6807861,0,60,59468.824,.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,-999,1,1,-999,6.5965924,0,100,-999,.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,4.3882294,1,1,6.8519425,5.8777261,0,15,43370.277,.30000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,-999,0,0,9.0679255,5.0135036,0,50,66484.805,-999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
213,4.4163351,0,1,8.6198511,5.5915236,0,30,62349.094,.60000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0
